          ;        8454;   ;Filtro    ;Inicio                                  ;30092014      ;155237;200.54.88.50   ;OK ;                    ;Inicio de filtrado                                                      
          ;        8454;   ;Filtro    ;tbk_param.txt                           ;30092014      ;155237;200.54.88.50   ;OK ;                    ;Archivo parseado                                                        
          ;        8454;   ;Filtro    ;Terminado                               ;30092014      ;155237;200.54.88.50   ;OK ;                    ;Datos Filtrados con exito                                               
211755720 ;        8454;   ;pago      ;inicio                                  ;30092014      ;155237;200.54.88.50   ;OK ;597026007976        ;Parseo realizado                                                        
211755720 ;        8454;   ;pago      ;https://certificacion.webpay.cl         ;30092014      ;155237;200.54.88.50   ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
211755720 ;        8454;   ;pago      ;https://certificacion.webpay.cl         ;30092014      ;155237;200.54.88.50   ;OK ;597026007976        ;Mac generado                                                            
211755720 ;        8454;   ;pago      ;https://certificacion.webpay.cl         ;30092014      ;155237;200.54.88.50   ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
211755720 ;        8454;   ;pago      ;https://certificacion.webpay.cl         ;30092014      ;155237;200.54.88.50   ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
211755720 ;        8454;   ;pago      ;https://certificacion.webpay.cl         ;30092014      ;155237;200.54.88.50   ;OK ;597026007976        ;Datos listos para ser enviados                                          
211755720 ;        8454;   ;pago      ;https://certificacion.webpay.cl         ;30092014      ;155237;200.54.88.50   ;OK ;597026007976        ;Medio 1: Transaccion segura                                             
211755720 ;        8454;   ;pago      ;https://certificacion.webpay.cl         ;30092014      ;155253;200.54.88.50   ;OK ;597026007976        ;Datos validados                                                         
211755720 ;        8454;   ;pago      ;https://certificacion.webpay.cl         ;30092014      ;155253;200.54.88.50   ;OK ;597026007976        ;Token=e6e63f26b7fc03bc576773690bcbaf4193a8d19289e4071bde9d3b37ca6d0a9d  
211755720 ;        8454;   ;pago      ;https://certificacion.webpay.cl         ;30092014      ;155253;200.54.88.50   ;OK ;597026007976        ;Redireccion web                                                         
211755720 ;        8454;   ;pago      ;https://certificacion.webpay.cl         ;30092014      ;155253;200.54.88.50   ;OK ;597026007976        ;Todo OK                                                                 
