          ;       24696;   ;Filtro    ;Inicio                                  ;13102014      ;214209;201.223.1.49   ;OK ;                    ;Inicio de filtrado                                                      
          ;       24696;   ;Filtro    ;tbk_param.txt                           ;13102014      ;214209;201.223.1.49   ;OK ;                    ;Archivo parseado                                                        
          ;       24696;   ;Filtro    ;Terminado                               ;13102014      ;214209;201.223.1.49   ;OK ;                    ;Datos Filtrados con exito                                               
326172942 ;       24696;   ;pago      ;inicio                                  ;13102014      ;214209;201.223.1.49   ;OK ;597026007976        ;Parseo realizado                                                        
326172942 ;       24696;   ;pago      ;https://certificacion.webpay.cl         ;13102014      ;214209;201.223.1.49   ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
326172942 ;       24696;   ;pago      ;https://certificacion.webpay.cl         ;13102014      ;214209;201.223.1.49   ;OK ;597026007976        ;Mac generado                                                            
326172942 ;       24696;   ;pago      ;https://certificacion.webpay.cl         ;13102014      ;214209;201.223.1.49   ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
326172942 ;       24696;   ;pago      ;https://certificacion.webpay.cl         ;13102014      ;214209;201.223.1.49   ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
326172942 ;       24696;   ;pago      ;https://certificacion.webpay.cl         ;13102014      ;214209;201.223.1.49   ;OK ;597026007976        ;Datos listos para ser enviados                                          
326172942 ;       24696;   ;pago      ;https://certificacion.webpay.cl         ;13102014      ;214209;201.223.1.49   ;OK ;597026007976        ;Medio 1: Transaccion segura                                             
326172942 ;       24696;   ;pago      ;https://certificacion.webpay.cl         ;13102014      ;214218;201.223.1.49   ;OK ;597026007976        ;Datos validados                                                         
326172942 ;       24696;   ;pago      ;https://certificacion.webpay.cl         ;13102014      ;214218;201.223.1.49   ;OK ;597026007976        ;Token=e37d0b4fbf3fefde1239f674b7ce692ecc4597d1514b5f31fb0c2a96e4025ddc  
326172942 ;       24696;   ;pago      ;https://certificacion.webpay.cl         ;13102014      ;214218;201.223.1.49   ;OK ;597026007976        ;Redireccion web                                                         
326172942 ;       24696;   ;pago      ;https://certificacion.webpay.cl         ;13102014      ;214218;201.223.1.49   ;OK ;597026007976        ;Todo OK                                                                 
          ;       26904;   ;Filtro    ;Inicio                                  ;13102014      ;214651;201.223.1.49   ;OK ;                    ;Inicio de filtrado                                                      
          ;       26904;   ;Filtro    ;tbk_param.txt                           ;13102014      ;214651;201.223.1.49   ;OK ;                    ;Archivo parseado                                                        
          ;       26904;   ;Filtro    ;Terminado                               ;13102014      ;214651;201.223.1.49   ;OK ;                    ;Datos Filtrados con exito                                               
326201179 ;       26904;   ;pago      ;inicio                                  ;13102014      ;214651;201.223.1.49   ;OK ;597026007976        ;Parseo realizado                                                        
326201179 ;       26904;   ;pago      ;https://certificacion.webpay.cl         ;13102014      ;214651;201.223.1.49   ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
