          ;       23559;   ;Filtro    ;Inicio                                  ;02112014      ;175816;201.223.54.118 ;OK ;                    ;Inicio de filtrado                                                      
          ;       23559;   ;Filtro    ;tbk_param.txt                           ;02112014      ;175816;201.223.54.118 ;OK ;                    ;Archivo parseado                                                        
          ;       23559;   ;Filtro    ;Terminado                               ;02112014      ;175816;201.223.54.118 ;OK ;                    ;Datos Filtrados con exito                                               
497989648 ;       23559;   ;pago      ;inicio                                  ;02112014      ;175816;201.223.54.118 ;OK ;597026007976        ;Parseo realizado                                                        
497989648 ;       23559;   ;pago      ;https://certificacion.webpay.cl         ;02112014      ;175816;201.223.54.118 ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
497989648 ;       23559;   ;pago      ;https://certificacion.webpay.cl         ;02112014      ;175816;201.223.54.118 ;OK ;597026007976        ;Mac generado                                                            
497989648 ;       23559;   ;pago      ;https://certificacion.webpay.cl         ;02112014      ;175816;201.223.54.118 ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
497989648 ;       23559;   ;pago      ;https://certificacion.webpay.cl         ;02112014      ;175816;201.223.54.118 ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
497989648 ;       23559;   ;pago      ;https://certificacion.webpay.cl         ;02112014      ;175816;201.223.54.118 ;OK ;597026007976        ;Datos listos para ser enviados                                          
497989648 ;       23559;   ;pago      ;https://certificacion.webpay.cl         ;02112014      ;175816;201.223.54.118 ;OK ;597026007976        ;Medio 1: Transaccion segura                                             
497989648 ;       23559;   ;pago      ;https://certificacion.webpay.cl         ;02112014      ;175830;201.223.54.118 ;OK ;597026007976        ;Datos validados                                                         
497989648 ;       23559;   ;pago      ;https://certificacion.webpay.cl         ;02112014      ;175830;201.223.54.118 ;OK ;597026007976        ;Token=e3002d07700e00e1937394d7f49570b3e2a036a1a2e33bea6ff7cb86501c3c6a  
497989648 ;       23559;   ;pago      ;https://certificacion.webpay.cl         ;02112014      ;175830;201.223.54.118 ;OK ;597026007976        ;Redireccion web                                                         
497989648 ;       23559;   ;pago      ;https://certificacion.webpay.cl         ;02112014      ;175830;201.223.54.118 ;OK ;597026007976        ;Todo OK                                                                 
          ;       26301;   ;resultado ;Desencriptando                          ;02112014      ;180314;200.10.12.55   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;       26301;   ;resultado ;Validacion                              ;02112014      ;180314;200.10.12.55   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;       26301;   ;resultado ;179                                     ;02112014      ;180314;200.10.12.55   ;OK ;                    ;Parseo de los datos                                                     
          ;       26301;   ;resultado ;179                                     ;02112014      ;180314;200.10.12.55   ;OK ;                    ;http://desarrollo.radar.cl/cocina/TB/compra.php                         
497989648 ;       26301;   ;transacc  ;497989648                               ;02112014      ;180314;200.10.12.55   ;OK ;597026007976        ;conectandose al port :(80)                                              
497989648 ;       26301;   ;resultado ;logro abrir_conexion                    ;02112014      ;180314;200.10.12.55   ; 0 ;597026007976        ;Abrio socket para conex-com                                             
497989648 ;       26301;   ;transacc  ;497989648                               ;02112014      ;180314;200.10.12.55   ;OK ;597026007976        ;POST a url http://desarrollo.radar.cl/cocina/TB/compra.php              
497989648 ;       26301;   ;transacc  ;497989648                               ;02112014      ;180314;200.10.12.55   ;OK ;597026007976        ;mensaje enviado                                                         
          ;       26308;   ;check_mac ;                                        ;02112014      ;180315;EMPTY          ;OK ;                    ;Todo OK                                                                 
497989648 ;       26301;   ;transacc  ;497989648                               ;02112014      ;180315;200.10.12.55   ;OK ;597026007976        ;Llego ACK del Comercio                                                  
497989648 ;       26301;   ;resultado ;179                                     ;02112014      ;180315;200.10.12.55   ;OK ;597026007976        ;tienda acepto transaccion                                               
497989648 ;       26301;   ;resultado ;179                                     ;02112014      ;180315;200.10.12.55   ;OK ;597026007976        ;respuesta enviada a TBK (ACK)                                           
497989648 ;       26301;   ;resultado ;179                                     ;02112014      ;180315;200.10.12.55   ;OK ;597026007976        ;Todo OK                                                                 
