          ;         920;   ;Filtro    ;Inicio                                  ;04112014      ;042907;200.75.17.186  ;OK ;                    ;Inicio de filtrado                                                      
          ;         920;   ;Filtro    ;tbk_param.txt                           ;04112014      ;042907;200.75.17.186  ;OK ;                    ;Archivo parseado                                                        
          ;         920;   ;Filtro    ;Terminado                               ;04112014      ;042907;200.75.17.186  ;OK ;                    ;Datos Filtrados con exito                                               
510414783 ;         920;   ;pago      ;inicio                                  ;04112014      ;042907;200.75.17.186  ;OK ;597026007976        ;Parseo realizado                                                        
510414783 ;         920;   ;pago      ;https://certificacion.webpay.cl         ;04112014      ;042907;200.75.17.186  ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
510414783 ;         920;   ;pago      ;https://certificacion.webpay.cl         ;04112014      ;042907;200.75.17.186  ;OK ;597026007976        ;Mac generado                                                            
510414783 ;         920;   ;pago      ;https://certificacion.webpay.cl         ;04112014      ;042907;200.75.17.186  ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
510414783 ;         920;   ;pago      ;https://certificacion.webpay.cl         ;04112014      ;042907;200.75.17.186  ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
510414783 ;         920;   ;pago      ;https://certificacion.webpay.cl         ;04112014      ;042907;200.75.17.186  ;OK ;597026007976        ;Datos listos para ser enviados                                          
510414783 ;         920;   ;pago      ;https://certificacion.webpay.cl         ;04112014      ;042907;200.75.17.186  ;OK ;597026007976        ;Medio 1: Transaccion segura                                             
510414783 ;         920;   ;pago      ;https://certificacion.webpay.cl         ;04112014      ;042919;200.75.17.186  ;OK ;597026007976        ;Datos validados                                                         
510414783 ;         920;   ;pago      ;https://certificacion.webpay.cl         ;04112014      ;042919;200.75.17.186  ;OK ;597026007976        ;Token=ed4bfa91c2da1f50a1beefe08141aee11b47571d88271c85719a24fa0708ea4d  
510414783 ;         920;   ;pago      ;https://certificacion.webpay.cl         ;04112014      ;042919;200.75.17.186  ;OK ;597026007976        ;Redireccion web                                                         
510414783 ;         920;   ;pago      ;https://certificacion.webpay.cl         ;04112014      ;042919;200.75.17.186  ;OK ;597026007976        ;Todo OK                                                                 
          ;        1514;   ;resultado ;Desencriptando                          ;04112014      ;042957;200.10.12.55   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;        1514;   ;resultado ;Validacion                              ;04112014      ;042957;200.10.12.55   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;        1514;   ;resultado ;183                                     ;04112014      ;042957;200.10.12.55   ;OK ;                    ;Parseo de los datos                                                     
          ;        1514;   ;resultado ;183                                     ;04112014      ;042957;200.10.12.55   ;OK ;                    ;http://desarrollo.radar.cl/cocina/TB/compra.php                         
510414783 ;        1514;   ;transacc  ;510414783                               ;04112014      ;042957;200.10.12.55   ;OK ;597026007976        ;conectandose al port :(80)                                              
510414783 ;        1514;   ;resultado ;logro abrir_conexion                    ;04112014      ;042957;200.10.12.55   ; 0 ;597026007976        ;Abrio socket para conex-com                                             
510414783 ;        1514;   ;transacc  ;510414783                               ;04112014      ;042957;200.10.12.55   ;OK ;597026007976        ;POST a url http://desarrollo.radar.cl/cocina/TB/compra.php              
510414783 ;        1514;   ;transacc  ;510414783                               ;04112014      ;042957;200.10.12.55   ;OK ;597026007976        ;mensaje enviado                                                         
          ;        1517;   ;check_mac ;                                        ;04112014      ;042957;EMPTY          ;OK ;                    ;Todo OK                                                                 
510414783 ;        1514;   ;transacc  ;510414783                               ;04112014      ;042957;200.10.12.55   ;OK ;597026007976        ;Llego ACK del Comercio                                                  
510414783 ;        1514;   ;resultado ;183                                     ;04112014      ;042957;200.10.12.55   ;OK ;597026007976        ;tienda acepto transaccion                                               
510414783 ;        1514;   ;resultado ;183                                     ;04112014      ;042957;200.10.12.55   ;OK ;597026007976        ;respuesta enviada a TBK (ACK)                                           
510414783 ;        1514;   ;resultado ;183                                     ;04112014      ;042957;200.10.12.55   ;OK ;597026007976        ;Todo OK                                                                 
          ;       29135;   ;Filtro    ;Inicio                                  ;04112014      ;074405;201.220.242.12 ;OK ;                    ;Inicio de filtrado                                                      
          ;       29135;   ;Filtro    ;tbk_param.txt                           ;04112014      ;074405;201.220.242.12 ;OK ;                    ;Archivo parseado                                                        
          ;       29135;   ;Filtro    ;Terminado                               ;04112014      ;074405;201.220.242.12 ;OK ;                    ;Datos Filtrados con exito                                               
