          ;        3858;   ;Filtro    ;Inicio                                  ;28012015      ;074922;200.75.17.186  ;OK ;                    ;Inicio de filtrado                                                      
          ;        3858;   ;Filtro    ;tbk_param.txt                           ;28012015      ;074922;200.75.17.186  ;OK ;                    ;Archivo parseado                                                        
          ;        3858;   ;Filtro    ;Terminado                               ;28012015      ;074922;200.75.17.186  ;OK ;                    ;Datos Filtrados con exito                                               
246016228 ;        3858;   ;pago      ;inicio                                  ;28012015      ;074922;200.75.17.186  ;OK ;597031240956        ;Parseo realizado                                                        
246016228 ;        3858;   ;pago      ;https://webpay.transbank.cl             ;28012015      ;074922;200.75.17.186  ;OK ;597031240956        ;Datos en datos/tbk_config.dat                                           
246016228 ;        3858;   ;pago      ;https://webpay.transbank.cl             ;28012015      ;074922;200.75.17.186  ;OK ;597031240956        ;Mac generado                                                            
246016228 ;        3858;   ;pago      ;https://webpay.transbank.cl             ;28012015      ;074922;200.75.17.186  ;OK ;597031240956        ;Construccion TBK_PARAM                                                  
246016228 ;        3858;   ;pago      ;https://webpay.transbank.cl             ;28012015      ;074922;200.75.17.186  ;OK ;597031240956        ;TBK_PARAM encriptado                                                    
246016228 ;        3858;   ;pago      ;https://webpay.transbank.cl             ;28012015      ;074922;200.75.17.186  ;OK ;597031240956        ;Datos listos para ser enviados                                          
246016228 ;        3858;   ;pago      ;https://webpay.transbank.cl             ;28012015      ;074922;200.75.17.186  ;OK ;597031240956        ;Medio 1: Transaccion segura                                             
246016228 ;        3858;   ;pago      ;https://webpay.transbank.cl             ;28012015      ;074925;200.75.17.186  ;OK ;597031240956        ;Datos validados                                                         
246016228 ;        3858;   ;pago      ;https://webpay.transbank.cl             ;28012015      ;074925;200.75.17.186  ;OK ;597031240956        ;Token=e623cca2418dc3326630c07d227f1327cd3278ed60eb6ab19ef6f391a5b2bb59  
246016228 ;        3858;   ;pago      ;https://webpay.transbank.cl             ;28012015      ;074925;200.75.17.186  ;OK ;597031240956        ;Redireccion web                                                         
246016228 ;        3858;   ;pago      ;https://webpay.transbank.cl             ;28012015      ;074925;200.75.17.186  ;OK ;597031240956        ;Todo OK                                                                 
          ;        8241;   ;Filtro    ;Inicio                                  ;28012015      ;161743;186.105.110.20 ;OK ;                    ;Inicio de filtrado                                                      
          ;        8241;   ;Filtro    ;tbk_param.txt                           ;28012015      ;161743;186.105.110.20 ;OK ;                    ;Archivo parseado                                                        
          ;        8241;   ;Filtro    ;Terminado                               ;28012015      ;161743;186.105.110.20 ;OK ;                    ;Datos Filtrados con exito                                               
249066314 ;        8241;   ;pago      ;inicio                                  ;28012015      ;161743;186.105.110.20 ;OK ;597031240956        ;Parseo realizado                                                        
249066314 ;        8241;   ;pago      ;https://webpay.transbank.cl             ;28012015      ;161743;186.105.110.20 ;OK ;597031240956        ;Datos en datos/tbk_config.dat                                           
249066314 ;        8241;   ;pago      ;https://webpay.transbank.cl             ;28012015      ;161743;186.105.110.20 ;OK ;597031240956        ;Mac generado                                                            
249066314 ;        8241;   ;pago      ;https://webpay.transbank.cl             ;28012015      ;161743;186.105.110.20 ;OK ;597031240956        ;Construccion TBK_PARAM                                                  
249066314 ;        8241;   ;pago      ;https://webpay.transbank.cl             ;28012015      ;161743;186.105.110.20 ;OK ;597031240956        ;TBK_PARAM encriptado                                                    
249066314 ;        8241;   ;pago      ;https://webpay.transbank.cl             ;28012015      ;161743;186.105.110.20 ;OK ;597031240956        ;Datos listos para ser enviados                                          
249066314 ;        8241;   ;pago      ;https://webpay.transbank.cl             ;28012015      ;161743;186.105.110.20 ;OK ;597031240956        ;Medio 1: Transaccion segura                                             
249066314 ;        8241;   ;pago      ;https://webpay.transbank.cl             ;28012015      ;161746;186.105.110.20 ;OK ;597031240956        ;Datos validados                                                         
249066314 ;        8241;   ;pago      ;https://webpay.transbank.cl             ;28012015      ;161746;186.105.110.20 ;OK ;597031240956        ;Token=e3eea18b2b78d5410ccb6a6ae548452b86744880b5d4fbb4c275771d96b08b5c  
249066314 ;        8241;   ;pago      ;https://webpay.transbank.cl             ;28012015      ;161746;186.105.110.20 ;OK ;597031240956        ;Redireccion web                                                         
249066314 ;        8241;   ;pago      ;https://webpay.transbank.cl             ;28012015      ;161746;186.105.110.20 ;OK ;597031240956        ;Todo OK                                                                 
          ;       10538;   ;resultado ;Desencriptando                          ;28012015      ;162024;200.10.14.177  ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;       10538;   ;resultado ;Validacion                              ;28012015      ;162024;200.10.14.177  ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;       10538;   ;resultado ;233                                     ;28012015      ;162024;200.10.14.177  ;OK ;                    ;Parseo de los datos                                                     
          ;       10538;   ;resultado ;233                                     ;28012015      ;162024;200.10.14.177  ;OK ;                    ;http://www.clubdelacocina.cl/beta/TB/compra.php                         
249066314 ;       10538;   ;transacc  ;249066314                               ;28012015      ;162024;200.10.14.177  ;OK ;597031240956        ;conectandose al port :(80)                                              
249066314 ;       10538;   ;resultado ;logro abrir_conexion                    ;28012015      ;162024;200.10.14.177  ; 0 ;597031240956        ;Abrio socket para conex-com                                             
249066314 ;       10538;   ;transacc  ;249066314                               ;28012015      ;162024;200.10.14.177  ;OK ;597031240956        ;POST a url http://www.clubdelacocina.cl/beta/TB/compra.php              
249066314 ;       10538;   ;transacc  ;249066314                               ;28012015      ;162024;200.10.14.177  ;OK ;597031240956        ;mensaje enviado                                                         
          ;       10546;   ;check_mac ;                                        ;28012015      ;162025;EMPTY          ;OK ;                    ;Todo OK                                                                 
          ;       10538;   ;resultado ;233                                     ;28012015      ;162025;200.10.14.177  ;OK ;                    ;tienda NO acepto transaccion                                            
          ;       10538;   ;resultado ;233                                     ;28012015      ;162025;200.10.14.177  ;OK ;                    ;respuesta enviada a TBK (ERR)                                           
249066314 ;       10538;   ;resultado ;datoscom                                ;28012015      ;162025;200.10.14.177  ;Ok ;597031240956        ;Error al obtener ack (46)                                               
          ;       10538;   ;resultado ;233                                     ;28012015      ;162025;200.10.14.177  ;ERR;                    ;46                                                                      
          ;       11355;   ;Filtro    ;Inicio                                  ;28012015      ;162256;186.105.110.20 ;OK ;                    ;Inicio de filtrado                                                      
          ;       11355;   ;Filtro    ;tbk_param.txt                           ;28012015      ;162256;186.105.110.20 ;OK ;                    ;Archivo parseado                                                        
          ;       11355;   ;Filtro    ;Terminado                               ;28012015      ;162256;186.105.110.20 ;OK ;                    ;Datos Filtrados con exito                                               
249097637 ;       11355;   ;pago      ;inicio                                  ;28012015      ;162256;186.105.110.20 ;OK ;597031240956        ;Parseo realizado                                                        
249097637 ;       11355;   ;pago      ;https://webpay.transbank.cl             ;28012015      ;162256;186.105.110.20 ;OK ;597031240956        ;Datos en datos/tbk_config.dat                                           
249097637 ;       11355;   ;pago      ;https://webpay.transbank.cl             ;28012015      ;162256;186.105.110.20 ;OK ;597031240956        ;Mac generado                                                            
249097637 ;       11355;   ;pago      ;https://webpay.transbank.cl             ;28012015      ;162256;186.105.110.20 ;OK ;597031240956        ;Construccion TBK_PARAM                                                  
249097637 ;       11355;   ;pago      ;https://webpay.transbank.cl             ;28012015      ;162256;186.105.110.20 ;OK ;597031240956        ;TBK_PARAM encriptado                                                    
249097637 ;       11355;   ;pago      ;https://webpay.transbank.cl             ;28012015      ;162256;186.105.110.20 ;OK ;597031240956        ;Datos listos para ser enviados                                          
249097637 ;       11355;   ;pago      ;https://webpay.transbank.cl             ;28012015      ;162256;186.105.110.20 ;OK ;597031240956        ;Medio 1: Transaccion segura                                             
249097637 ;       11355;   ;pago      ;https://webpay.transbank.cl             ;28012015      ;162258;186.105.110.20 ;OK ;597031240956        ;Datos validados                                                         
249097637 ;       11355;   ;pago      ;https://webpay.transbank.cl             ;28012015      ;162258;186.105.110.20 ;OK ;597031240956        ;Token=e8e6acd2146d73d39aca4ad5d14bf1ab86c30fa2f9fb72456dfcb8fb814d4685  
249097637 ;       11355;   ;pago      ;https://webpay.transbank.cl             ;28012015      ;162258;186.105.110.20 ;OK ;597031240956        ;Redireccion web                                                         
