          ;        8527;   ;Filtro    ;Inicio                                  ;06052015      ;200847;200.120.70.233 ;OK ;                    ;Inicio de filtrado                                                      
          ;        8527;   ;Filtro    ;tbk_param.txt                           ;06052015      ;200847;200.120.70.233 ;OK ;                    ;Archivo parseado                                                        
          ;        8527;   ;Filtro    ;Terminado                               ;06052015      ;200847;200.120.70.233 ;OK ;                    ;Datos Filtrados con exito                                               
096812758 ;        8527;   ;pago      ;inicio                                  ;06052015      ;200847;200.120.70.233 ;OK ;597031240956        ;Parseo realizado                                                        
096812758 ;        8527;   ;pago      ;https://webpay.transbank.cl             ;06052015      ;200847;200.120.70.233 ;OK ;597031240956        ;Datos en datos/tbk_config.dat                                           
096812758 ;        8527;   ;pago      ;https://webpay.transbank.cl             ;06052015      ;200847;200.120.70.233 ;OK ;597031240956        ;Mac generado                                                            
096812758 ;        8527;   ;pago      ;https://webpay.transbank.cl             ;06052015      ;200847;200.120.70.233 ;OK ;597031240956        ;Construccion TBK_PARAM                                                  
096812758 ;        8527;   ;pago      ;https://webpay.transbank.cl             ;06052015      ;200847;200.120.70.233 ;OK ;597031240956        ;TBK_PARAM encriptado                                                    
096812758 ;        8527;   ;pago      ;https://webpay.transbank.cl             ;06052015      ;200847;200.120.70.233 ;OK ;597031240956        ;Datos listos para ser enviados                                          
096812758 ;        8527;   ;pago      ;https://webpay.transbank.cl             ;06052015      ;200847;200.120.70.233 ;OK ;597031240956        ;Medio 1: Transaccion segura                                             
096812758 ;        8527;   ;pago      ;https://webpay.transbank.cl             ;06052015      ;200850;200.120.70.233 ;OK ;597031240956        ;Datos validados                                                         
096812758 ;        8527;   ;pago      ;https://webpay.transbank.cl             ;06052015      ;200850;200.120.70.233 ;OK ;597031240956        ;Token=e88b6114a2183a08bab484574062b6844c5f6e2741d7b4d0da0a271ece2d18a4  
096812758 ;        8527;   ;pago      ;https://webpay.transbank.cl             ;06052015      ;200850;200.120.70.233 ;OK ;597031240956        ;Redireccion web                                                         
096812758 ;        8527;   ;pago      ;https://webpay.transbank.cl             ;06052015      ;200850;200.120.70.233 ;OK ;597031240956        ;Todo OK                                                                 
