          ;         809;   ;Filtro    ;Inicio                                  ;10052015      ;071905;190.153.236.82 ;OK ;                    ;Inicio de filtrado                                                      
          ;         809;   ;Filtro    ;tbk_param.txt                           ;10052015      ;071905;190.153.236.82 ;OK ;                    ;Archivo parseado                                                        
          ;         809;   ;Filtro    ;Terminado                               ;10052015      ;071905;190.153.236.82 ;OK ;                    ;Datos Filtrados con exito                                               
126754509 ;         809;   ;pago      ;inicio                                  ;10052015      ;071905;190.153.236.82 ;OK ;597031240956        ;Parseo realizado                                                        
126754509 ;         809;   ;pago      ;https://webpay.transbank.cl             ;10052015      ;071905;190.153.236.82 ;OK ;597031240956        ;Datos en datos/tbk_config.dat                                           
126754509 ;         809;   ;pago      ;https://webpay.transbank.cl             ;10052015      ;071905;190.153.236.82 ;OK ;597031240956        ;Mac generado                                                            
126754509 ;         809;   ;pago      ;https://webpay.transbank.cl             ;10052015      ;071905;190.153.236.82 ;OK ;597031240956        ;Construccion TBK_PARAM                                                  
126754509 ;         809;   ;pago      ;https://webpay.transbank.cl             ;10052015      ;071905;190.153.236.82 ;OK ;597031240956        ;TBK_PARAM encriptado                                                    
126754509 ;         809;   ;pago      ;https://webpay.transbank.cl             ;10052015      ;071905;190.153.236.82 ;OK ;597031240956        ;Datos listos para ser enviados                                          
126754509 ;         809;   ;pago      ;https://webpay.transbank.cl             ;10052015      ;071905;190.153.236.82 ;OK ;597031240956        ;Medio 1: Transaccion segura                                             
126754509 ;         809;   ;pago      ;https://webpay.transbank.cl             ;10052015      ;071909;190.153.236.82 ;OK ;597031240956        ;Datos validados                                                         
126754509 ;         809;   ;pago      ;https://webpay.transbank.cl             ;10052015      ;071909;190.153.236.82 ;OK ;597031240956        ;Token=e4d36f48ffa6ef008683a82fbf56dd6b22c54f8c6ae4c11ef678f55e042e521c  
126754509 ;         809;   ;pago      ;https://webpay.transbank.cl             ;10052015      ;071909;190.153.236.82 ;OK ;597031240956        ;Redireccion web                                                         
126754509 ;         809;   ;pago      ;https://webpay.transbank.cl             ;10052015      ;071909;190.153.236.82 ;OK ;597031240956        ;Todo OK                                                                 
          ;        1683;   ;resultado ;Desencriptando                          ;10052015      ;072022;200.10.14.177  ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;        1683;   ;resultado ;Validacion                              ;10052015      ;072022;200.10.14.177  ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;        1683;   ;resultado ;253                                     ;10052015      ;072022;200.10.14.177  ;OK ;                    ;Parseo de los datos                                                     
          ;        1683;   ;resultado ;253                                     ;10052015      ;072022;200.10.14.177  ;OK ;                    ;http://www.clubdelacocina.cl/TB/compra.php                              
126754509 ;        1683;   ;transacc  ;126754509                               ;10052015      ;072022;200.10.14.177  ;OK ;597031240956        ;conectandose al port :(80)                                              
126754509 ;        1683;   ;resultado ;logro abrir_conexion                    ;10052015      ;072022;200.10.14.177  ; 0 ;597031240956        ;Abrio socket para conex-com                                             
126754509 ;        1683;   ;transacc  ;126754509                               ;10052015      ;072022;200.10.14.177  ;OK ;597031240956        ;POST a url http://www.clubdelacocina.cl/TB/compra.php                   
126754509 ;        1683;   ;transacc  ;126754509                               ;10052015      ;072022;200.10.14.177  ;OK ;597031240956        ;mensaje enviado                                                         
          ;        1684;   ;check_mac ;                                        ;10052015      ;072023;EMPTY          ;OK ;                    ;Todo OK                                                                 
126754509 ;        1683;   ;transacc  ;126754509                               ;10052015      ;072023;200.10.14.177  ;OK ;597031240956        ;Llego ACK del Comercio                                                  
126754509 ;        1683;   ;resultado ;253                                     ;10052015      ;072023;200.10.14.177  ;OK ;597031240956        ;tienda acepto transaccion                                               
126754509 ;        1683;   ;resultado ;253                                     ;10052015      ;072023;200.10.14.177  ;OK ;597031240956        ;respuesta enviada a TBK (ACK)                                           
126754509 ;        1683;   ;resultado ;253                                     ;10052015      ;072023;200.10.14.177  ;OK ;597031240956        ;Todo OK                                                                 
