          ;       16716;   ;Filtro    ;Inicio                                  ;20102014      ;063530;179.63.247.20  ;OK ;                    ;Inicio de filtrado                                                      
          ;       16716;   ;Filtro    ;tbk_param.txt                           ;20102014      ;063530;179.63.247.20  ;OK ;                    ;Archivo parseado                                                        
          ;       16716;   ;Filtro    ;Terminado                               ;20102014      ;063530;179.63.247.20  ;OK ;                    ;Datos Filtrados con exito                                               
381213017 ;       16716;   ;pago      ;inicio                                  ;20102014      ;063530;179.63.247.20  ;OK ;597026007976        ;Parseo realizado                                                        
381213017 ;       16716;   ;pago      ;https://certificacion.webpay.cl         ;20102014      ;063530;179.63.247.20  ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
381213017 ;       16716;   ;pago      ;https://certificacion.webpay.cl         ;20102014      ;063530;179.63.247.20  ;OK ;597026007976        ;Mac generado                                                            
381213017 ;       16716;   ;pago      ;https://certificacion.webpay.cl         ;20102014      ;063530;179.63.247.20  ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
381213017 ;       16716;   ;pago      ;https://certificacion.webpay.cl         ;20102014      ;063530;179.63.247.20  ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
381213017 ;       16716;   ;pago      ;https://certificacion.webpay.cl         ;20102014      ;063530;179.63.247.20  ;OK ;597026007976        ;Datos listos para ser enviados                                          
381213017 ;       16716;   ;pago      ;https://certificacion.webpay.cl         ;20102014      ;063530;179.63.247.20  ;OK ;597026007976        ;Medio 1: Transaccion segura                                             
381213017 ;       16716;   ;pago      ;https://certificacion.webpay.cl         ;20102014      ;063540;179.63.247.20  ;OK ;597026007976        ;Datos validados                                                         
381213017 ;       16716;   ;pago      ;https://certificacion.webpay.cl         ;20102014      ;063540;179.63.247.20  ;OK ;597026007976        ;Token=e414ccc659ab902a92b738d9fca348e632b612da93ebd4f48d8d0ee31682fd57  
381213017 ;       16716;   ;pago      ;https://certificacion.webpay.cl         ;20102014      ;063540;179.63.247.20  ;OK ;597026007976        ;Redireccion web                                                         
381213017 ;       16716;   ;pago      ;https://certificacion.webpay.cl         ;20102014      ;063540;179.63.247.20  ;OK ;597026007976        ;Todo OK                                                                 
          ;       17035;   ;resultado ;Desencriptando                          ;20102014      ;063607;200.10.12.55   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;       17035;   ;resultado ;Validacion                              ;20102014      ;063607;200.10.12.55   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;       17035;   ;resultado ;166                                     ;20102014      ;063607;200.10.12.55   ;OK ;                    ;Parseo de los datos                                                     
          ;       17035;   ;resultado ;166                                     ;20102014      ;063607;200.10.12.55   ;OK ;                    ;http://desarrollo.radar.cl/cocina/TB/compra.php                         
381213017 ;       17035;   ;transacc  ;381213017                               ;20102014      ;063607;200.10.12.55   ;OK ;597026007976        ;conectandose al port :(80)                                              
381213017 ;       17035;   ;resultado ;logro abrir_conexion                    ;20102014      ;063607;200.10.12.55   ; 0 ;597026007976        ;Abrio socket para conex-com                                             
381213017 ;       17035;   ;transacc  ;381213017                               ;20102014      ;063607;200.10.12.55   ;OK ;597026007976        ;POST a url http://desarrollo.radar.cl/cocina/TB/compra.php              
381213017 ;       17035;   ;transacc  ;381213017                               ;20102014      ;063607;200.10.12.55   ;OK ;597026007976        ;mensaje enviado                                                         
          ;       17044;   ;check_mac ;                                        ;20102014      ;063608;EMPTY          ;OK ;                    ;Todo OK                                                                 
381213017 ;       17035;   ;transacc  ;381213017                               ;20102014      ;063609;200.10.12.55   ;OK ;597026007976        ;Llego ACK del Comercio                                                  
381213017 ;       17035;   ;resultado ;166                                     ;20102014      ;063609;200.10.12.55   ;OK ;597026007976        ;tienda acepto transaccion                                               
381213017 ;       17035;   ;resultado ;166                                     ;20102014      ;063609;200.10.12.55   ;OK ;597026007976        ;respuesta enviada a TBK (ACK)                                           
381213017 ;       17035;   ;resultado ;166                                     ;20102014      ;063609;200.10.12.55   ;OK ;597026007976        ;Todo OK                                                                 
