          ;        4108;   ;Filtro    ;Inicio                                  ;25102014      ;061202;201.223.57.41  ;OK ;                    ;Inicio de filtrado                                                      
          ;        4108;   ;Filtro    ;tbk_param.txt                           ;25102014      ;061202;201.223.57.41  ;OK ;                    ;Archivo parseado                                                        
          ;        4108;   ;Filtro    ;Terminado                               ;25102014      ;061202;201.223.57.41  ;OK ;                    ;Datos Filtrados con exito                                               
424272223 ;        4108;   ;pago      ;inicio                                  ;25102014      ;061202;201.223.57.41  ;OK ;597026007976        ;Parseo realizado                                                        
424272223 ;        4108;   ;pago      ;https://certificacion.webpay.cl         ;25102014      ;061202;201.223.57.41  ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
424272223 ;        4108;   ;pago      ;https://certificacion.webpay.cl         ;25102014      ;061202;201.223.57.41  ;OK ;597026007976        ;Mac generado                                                            
424272223 ;        4108;   ;pago      ;https://certificacion.webpay.cl         ;25102014      ;061202;201.223.57.41  ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
424272223 ;        4108;   ;pago      ;https://certificacion.webpay.cl         ;25102014      ;061202;201.223.57.41  ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
424272223 ;        4108;   ;pago      ;https://certificacion.webpay.cl         ;25102014      ;061202;201.223.57.41  ;OK ;597026007976        ;Datos listos para ser enviados                                          
424272223 ;        4108;   ;pago      ;https://certificacion.webpay.cl         ;25102014      ;061202;201.223.57.41  ;OK ;597026007976        ;Medio 1: Transaccion segura                                             
424272223 ;        4108;   ;pago      ;https://certificacion.webpay.cl         ;25102014      ;061211;201.223.57.41  ;OK ;597026007976        ;Datos validados                                                         
424272223 ;        4108;   ;pago      ;https://certificacion.webpay.cl         ;25102014      ;061211;201.223.57.41  ;OK ;597026007976        ;Token=ec2833bb71383df08dabc98956b8617772fcf5e83831610bef90d3db18da9df2  
424272223 ;        4108;   ;pago      ;https://certificacion.webpay.cl         ;25102014      ;061211;201.223.57.41  ;OK ;597026007976        ;Redireccion web                                                         
424272223 ;        4108;   ;pago      ;https://certificacion.webpay.cl         ;25102014      ;061211;201.223.57.41  ;OK ;597026007976        ;Todo OK                                                                 
          ;        4505;   ;resultado ;Desencriptando                          ;25102014      ;061314;200.10.12.55   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;        4505;   ;resultado ;Validacion                              ;25102014      ;061314;200.10.12.55   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;        4505;   ;resultado ;170                                     ;25102014      ;061314;200.10.12.55   ;OK ;                    ;Parseo de los datos                                                     
          ;        4505;   ;resultado ;170                                     ;25102014      ;061314;200.10.12.55   ;OK ;                    ;http://desarrollo.radar.cl/cocina/TB/compra.php                         
424272223 ;        4505;   ;transacc  ;424272223                               ;25102014      ;061314;200.10.12.55   ;OK ;597026007976        ;conectandose al port :(80)                                              
424272223 ;        4505;   ;resultado ;logro abrir_conexion                    ;25102014      ;061314;200.10.12.55   ; 0 ;597026007976        ;Abrio socket para conex-com                                             
424272223 ;        4505;   ;transacc  ;424272223                               ;25102014      ;061314;200.10.12.55   ;OK ;597026007976        ;POST a url http://desarrollo.radar.cl/cocina/TB/compra.php              
424272223 ;        4505;   ;transacc  ;424272223                               ;25102014      ;061314;200.10.12.55   ;OK ;597026007976        ;mensaje enviado                                                         
          ;        4508;   ;check_mac ;                                        ;25102014      ;061314;EMPTY          ;OK ;                    ;Todo OK                                                                 
424272223 ;        4505;   ;transacc  ;424272223                               ;25102014      ;061314;200.10.12.55   ;OK ;597026007976        ;Llego ACK del Comercio                                                  
424272223 ;        4505;   ;resultado ;170                                     ;25102014      ;061314;200.10.12.55   ;OK ;597026007976        ;tienda acepto transaccion                                               
424272223 ;        4505;   ;resultado ;170                                     ;25102014      ;061314;200.10.12.55   ;OK ;597026007976        ;respuesta enviada a TBK (ACK)                                           
424272223 ;        4505;   ;resultado ;170                                     ;25102014      ;061314;200.10.12.55   ;OK ;597026007976        ;Todo OK                                                                 
