          ;         794;   ;Filtro    ;Inicio                                  ;28102014      ;092304;181.160.210.47 ;OK ;                    ;Inicio de filtrado                                                      
          ;         794;   ;Filtro    ;tbk_param.txt                           ;28102014      ;092305;181.160.210.47 ;OK ;                    ;Archivo parseado                                                        
          ;         794;   ;Filtro    ;Terminado                               ;28102014      ;092305;181.160.210.47 ;OK ;                    ;Datos Filtrados con exito                                               
451338503 ;         794;   ;pago      ;inicio                                  ;28102014      ;092305;181.160.210.47 ;OK ;597026007976        ;Parseo realizado                                                        
451338503 ;         794;   ;pago      ;https://certificacion.webpay.cl         ;28102014      ;092305;181.160.210.47 ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
451338503 ;         794;   ;pago      ;https://certificacion.webpay.cl         ;28102014      ;092305;181.160.210.47 ;OK ;597026007976        ;Mac generado                                                            
451338503 ;         794;   ;pago      ;https://certificacion.webpay.cl         ;28102014      ;092305;181.160.210.47 ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
451338503 ;         794;   ;pago      ;https://certificacion.webpay.cl         ;28102014      ;092305;181.160.210.47 ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
451338503 ;         794;   ;pago      ;https://certificacion.webpay.cl         ;28102014      ;092305;181.160.210.47 ;OK ;597026007976        ;Datos listos para ser enviados                                          
451338503 ;         794;   ;pago      ;https://certificacion.webpay.cl         ;28102014      ;092305;181.160.210.47 ;OK ;597026007976        ;Medio 1: Transaccion segura                                             
451338503 ;         794;   ;pago      ;https://certificacion.webpay.cl         ;28102014      ;092314;181.160.210.47 ;OK ;597026007976        ;Datos validados                                                         
451338503 ;         794;   ;pago      ;https://certificacion.webpay.cl         ;28102014      ;092314;181.160.210.47 ;OK ;597026007976        ;Token=efdef604e942fad54443d3959842ea7a6c8c294d0f6a82b396d618a3abea9dbf  
451338503 ;         794;   ;pago      ;https://certificacion.webpay.cl         ;28102014      ;092314;181.160.210.47 ;OK ;597026007976        ;Redireccion web                                                         
451338503 ;         794;   ;pago      ;https://certificacion.webpay.cl         ;28102014      ;092314;181.160.210.47 ;OK ;597026007976        ;Todo OK                                                                 
          ;        2337;   ;Filtro    ;Inicio                                  ;28102014      ;092544;181.160.210.47 ;OK ;                    ;Inicio de filtrado                                                      
          ;        2337;   ;Filtro    ;tbk_param.txt                           ;28102014      ;092544;181.160.210.47 ;OK ;                    ;Archivo parseado                                                        
          ;        2337;   ;Filtro    ;Terminado                               ;28102014      ;092544;181.160.210.47 ;OK ;                    ;Datos Filtrados con exito                                               
451354428 ;        2337;   ;pago      ;inicio                                  ;28102014      ;092544;181.160.210.47 ;OK ;597026007976        ;Parseo realizado                                                        
451354428 ;        2337;   ;pago      ;https://certificacion.webpay.cl         ;28102014      ;092544;181.160.210.47 ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
451354428 ;        2337;   ;pago      ;https://certificacion.webpay.cl         ;28102014      ;092544;181.160.210.47 ;OK ;597026007976        ;Mac generado                                                            
451354428 ;        2337;   ;pago      ;https://certificacion.webpay.cl         ;28102014      ;092544;181.160.210.47 ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
451354428 ;        2337;   ;pago      ;https://certificacion.webpay.cl         ;28102014      ;092544;181.160.210.47 ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
451354428 ;        2337;   ;pago      ;https://certificacion.webpay.cl         ;28102014      ;092544;181.160.210.47 ;OK ;597026007976        ;Datos listos para ser enviados                                          
451354428 ;        2337;   ;pago      ;https://certificacion.webpay.cl         ;28102014      ;092544;181.160.210.47 ;OK ;597026007976        ;Medio 1: Transaccion segura                                             
451354428 ;        2337;   ;pago      ;https://certificacion.webpay.cl         ;28102014      ;092552;181.160.210.47 ;OK ;597026007976        ;Datos validados                                                         
451354428 ;        2337;   ;pago      ;https://certificacion.webpay.cl         ;28102014      ;092552;181.160.210.47 ;OK ;597026007976        ;Token=e775503c64fa781653282c7d3995d1959de5b926291b94d5e199fa7e6db9130a  
451354428 ;        2337;   ;pago      ;https://certificacion.webpay.cl         ;28102014      ;092552;181.160.210.47 ;OK ;597026007976        ;Redireccion web                                                         
451354428 ;        2337;   ;pago      ;https://certificacion.webpay.cl         ;28102014      ;092552;181.160.210.47 ;OK ;597026007976        ;Todo OK                                                                 
          ;        3836;   ;resultado ;Desencriptando                          ;28102014      ;092818;200.10.12.55   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;        3836;   ;resultado ;Validacion                              ;28102014      ;092818;200.10.12.55   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;        3836;   ;resultado ;172                                     ;28102014      ;092818;200.10.12.55   ;OK ;                    ;Parseo de los datos                                                     
          ;        3836;   ;resultado ;172                                     ;28102014      ;092818;200.10.12.55   ;OK ;                    ;http://desarrollo.radar.cl/cocina/TB/compra.php                         
451354428 ;        3836;   ;transacc  ;451354428                               ;28102014      ;092818;200.10.12.55   ;OK ;597026007976        ;conectandose al port :(80)                                              
451354428 ;        3836;   ;resultado ;logro abrir_conexion                    ;28102014      ;092818;200.10.12.55   ; 0 ;597026007976        ;Abrio socket para conex-com                                             
451354428 ;        3836;   ;transacc  ;451354428                               ;28102014      ;092818;200.10.12.55   ;OK ;597026007976        ;POST a url http://desarrollo.radar.cl/cocina/TB/compra.php              
451354428 ;        3836;   ;transacc  ;451354428                               ;28102014      ;092818;200.10.12.55   ;OK ;597026007976        ;mensaje enviado                                                         
451354428 ;        3836;   ;transacc  ;451354428                               ;28102014      ;092819;200.10.12.55   ;OK ;597026007976        ;Llego ACK del Comercio                                                  
451354428 ;        3836;   ;resultado ;172                                     ;28102014      ;092819;200.10.12.55   ;OK ;597026007976        ;tienda acepto transaccion                                               
451354428 ;        3836;   ;resultado ;172                                     ;28102014      ;092819;200.10.12.55   ;OK ;597026007976        ;respuesta enviada a TBK (ACK)                                           
451354428 ;        3836;   ;resultado ;172                                     ;28102014      ;092819;200.10.12.55   ;OK ;597026007976        ;Todo OK                                                                 
