          ;       23200;   ;Filtro    ;Inicio                                  ;27112014      ;025618;200.54.88.50   ;OK ;                    ;Inicio de filtrado                                                      
          ;       23200;   ;Filtro    ;tbk_param.txt                           ;27112014      ;025618;200.54.88.50   ;OK ;                    ;Archivo parseado                                                        
          ;       23200;   ;Filtro    ;Terminado                               ;27112014      ;025618;200.54.88.50   ;OK ;                    ;Datos Filtrados con exito                                               
708577875 ;       23200;   ;pago      ;inicio                                  ;27112014      ;025618;200.54.88.50   ;OK ;597026007976        ;Parseo realizado                                                        
708577875 ;       23200;   ;pago      ;https://certificacion.webpay.cl         ;27112014      ;025618;200.54.88.50   ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
708577875 ;       23200;   ;pago      ;https://certificacion.webpay.cl         ;27112014      ;025618;200.54.88.50   ;OK ;597026007976        ;Mac generado                                                            
708577875 ;       23200;   ;pago      ;https://certificacion.webpay.cl         ;27112014      ;025618;200.54.88.50   ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
708577875 ;       23200;   ;pago      ;https://certificacion.webpay.cl         ;27112014      ;025618;200.54.88.50   ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
708577875 ;       23200;   ;pago      ;https://certificacion.webpay.cl         ;27112014      ;025618;200.54.88.50   ;OK ;597026007976        ;Datos listos para ser enviados                                          
708577875 ;       23200;   ;pago      ;https://certificacion.webpay.cl         ;27112014      ;025618;200.54.88.50   ;OK ;597026007976        ;Medio 1: Transaccion segura                                             
708577875 ;       23200;   ;pago      ;https://certificacion.webpay.cl         ;27112014      ;025628;200.54.88.50   ;OK ;597026007976        ;Datos validados                                                         
708577875 ;       23200;   ;pago      ;https://certificacion.webpay.cl         ;27112014      ;025628;200.54.88.50   ;OK ;597026007976        ;Token=efb3207e3e726624b3f552b434be1363831e048f1079d8914a93f4c846e92988  
708577875 ;       23200;   ;pago      ;https://certificacion.webpay.cl         ;27112014      ;025628;200.54.88.50   ;OK ;597026007976        ;Redireccion web                                                         
708577875 ;       23200;   ;pago      ;https://certificacion.webpay.cl         ;27112014      ;025628;200.54.88.50   ;OK ;597026007976        ;Todo OK                                                                 
          ;       24356;   ;resultado ;Desencriptando                          ;27112014      ;025724;200.10.12.55   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;       24356;   ;resultado ;Validacion                              ;27112014      ;025724;200.10.12.55   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;       24356;   ;resultado ;213                                     ;27112014      ;025724;200.10.12.55   ;OK ;                    ;Parseo de los datos                                                     
          ;       24356;   ;resultado ;213                                     ;27112014      ;025724;200.10.12.55   ;OK ;                    ;http://desarrollo.radar.cl/cocina/TB/compra.php                         
708577875 ;       24356;   ;transacc  ;708577875                               ;27112014      ;025724;200.10.12.55   ;OK ;597026007976        ;conectandose al port :(80)                                              
708577875 ;       24356;   ;resultado ;logro abrir_conexion                    ;27112014      ;025724;200.10.12.55   ; 0 ;597026007976        ;Abrio socket para conex-com                                             
708577875 ;       24356;   ;transacc  ;708577875                               ;27112014      ;025724;200.10.12.55   ;OK ;597026007976        ;POST a url http://desarrollo.radar.cl/cocina/TB/compra.php              
708577875 ;       24356;   ;transacc  ;708577875                               ;27112014      ;025724;200.10.12.55   ;OK ;597026007976        ;mensaje enviado                                                         
          ;       24377;   ;check_mac ;                                        ;27112014      ;025725;EMPTY          ;OK ;                    ;Todo OK                                                                 
708577875 ;       24356;   ;transacc  ;708577875                               ;27112014      ;025725;200.10.12.55   ;OK ;597026007976        ;Llego ACK del Comercio                                                  
708577875 ;       24356;   ;resultado ;213                                     ;27112014      ;025725;200.10.12.55   ;OK ;597026007976        ;tienda acepto transaccion                                               
708577875 ;       24356;   ;resultado ;213                                     ;27112014      ;025725;200.10.12.55   ;OK ;597026007976        ;respuesta enviada a TBK (ACK)                                           
708577875 ;       24356;   ;resultado ;213                                     ;27112014      ;025725;200.10.12.55   ;OK ;597026007976        ;Todo OK                                                                 
          ;       12108;   ;Filtro    ;Inicio                                  ;27112014      ;035649;200.54.88.50   ;OK ;                    ;Inicio de filtrado                                                      
          ;       12108;   ;Filtro    ;tbk_param.txt                           ;27112014      ;035649;200.54.88.50   ;OK ;                    ;Archivo parseado                                                        
          ;       12108;   ;Filtro    ;Terminado                               ;27112014      ;035649;200.54.88.50   ;OK ;                    ;Datos Filtrados con exito                                               
708940937 ;       12108;   ;pago      ;inicio                                  ;27112014      ;035649;200.54.88.50   ;OK ;597026007976        ;Parseo realizado                                                        
708940937 ;       12108;   ;pago      ;https://certificacion.webpay.cl         ;27112014      ;035649;200.54.88.50   ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
708940937 ;       12108;   ;pago      ;https://certificacion.webpay.cl         ;27112014      ;035649;200.54.88.50   ;OK ;597026007976        ;Mac generado                                                            
708940937 ;       12108;   ;pago      ;https://certificacion.webpay.cl         ;27112014      ;035649;200.54.88.50   ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
708940937 ;       12108;   ;pago      ;https://certificacion.webpay.cl         ;27112014      ;035649;200.54.88.50   ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
708940937 ;       12108;   ;pago      ;https://certificacion.webpay.cl         ;27112014      ;035649;200.54.88.50   ;OK ;597026007976        ;Datos listos para ser enviados                                          
708940937 ;       12108;   ;pago      ;https://certificacion.webpay.cl         ;27112014      ;035649;200.54.88.50   ;OK ;597026007976        ;Medio 1: Transaccion segura                                             
708940937 ;       12108;   ;pago      ;https://certificacion.webpay.cl         ;27112014      ;035658;200.54.88.50   ;OK ;597026007976        ;Datos validados                                                         
708940937 ;       12108;   ;pago      ;https://certificacion.webpay.cl         ;27112014      ;035658;200.54.88.50   ;OK ;597026007976        ;Token=edc1e69821f4e962fd695ed1cb8eb0d938ba76eef0a87f4677f6290cdecaaf49  
