          ;       27833;   ;Filtro    ;Inicio                                  ;04022015      ;104839;190.46.7.10    ;OK ;                    ;Inicio de filtrado                                                      
          ;       27833;   ;Filtro    ;tbk_param.txt                           ;04022015      ;104839;190.46.7.10    ;OK ;                    ;Archivo parseado                                                        
          ;       27833;   ;Filtro    ;Terminado                               ;04022015      ;104839;190.46.7.10    ;OK ;                    ;Datos Filtrados con exito                                               
307571984 ;       27833;   ;pago      ;inicio                                  ;04022015      ;104839;190.46.7.10    ;OK ;597031240956        ;Parseo realizado                                                        
307571984 ;       27833;   ;pago      ;https://webpay.transbank.cl             ;04022015      ;104839;190.46.7.10    ;OK ;597031240956        ;Datos en datos/tbk_config.dat                                           
307571984 ;       27833;   ;pago      ;https://webpay.transbank.cl             ;04022015      ;104839;190.46.7.10    ;OK ;597031240956        ;Mac generado                                                            
307571984 ;       27833;   ;pago      ;https://webpay.transbank.cl             ;04022015      ;104839;190.46.7.10    ;OK ;597031240956        ;Construccion TBK_PARAM                                                  
307571984 ;       27833;   ;pago      ;https://webpay.transbank.cl             ;04022015      ;104839;190.46.7.10    ;OK ;597031240956        ;TBK_PARAM encriptado                                                    
307571984 ;       27833;   ;pago      ;https://webpay.transbank.cl             ;04022015      ;104839;190.46.7.10    ;OK ;597031240956        ;Datos listos para ser enviados                                          
307571984 ;       27833;   ;pago      ;https://webpay.transbank.cl             ;04022015      ;104839;190.46.7.10    ;OK ;597031240956        ;Medio 1: Transaccion segura                                             
307571984 ;       27833;   ;pago      ;https://webpay.transbank.cl             ;04022015      ;104842;190.46.7.10    ;OK ;597031240956        ;Datos validados                                                         
307571984 ;       27833;   ;pago      ;https://webpay.transbank.cl             ;04022015      ;104842;190.46.7.10    ;OK ;597031240956        ;Token=e99157f7f5de70b0ebfda78658f6221db7d34576c055e2b15dce2dbe09d92be2  
307571984 ;       27833;   ;pago      ;https://webpay.transbank.cl             ;04022015      ;104842;190.46.7.10    ;OK ;597031240956        ;Redireccion web                                                         
307571984 ;       27833;   ;pago      ;https://webpay.transbank.cl             ;04022015      ;104842;190.46.7.10    ;OK ;597031240956        ;Todo OK                                                                 
