          ;        3729;   ;Filtro    ;Inicio                                  ;18022015      ;082250;201.220.242.11 ;OK ;                    ;Inicio de filtrado                                                      
          ;        3729;   ;Filtro    ;tbk_param.txt                           ;18022015      ;082250;201.220.242.11 ;OK ;                    ;Archivo parseado                                                        
          ;        3729;   ;Filtro    ;Terminado                               ;18022015      ;082250;201.220.242.11 ;OK ;                    ;Datos Filtrados con exito                                               
427657078 ;        3729;   ;pago      ;inicio                                  ;18022015      ;082250;201.220.242.11 ;OK ;597031240956        ;Parseo realizado                                                        
427657078 ;        3729;   ;pago      ;https://webpay.transbank.cl             ;18022015      ;082250;201.220.242.11 ;OK ;597031240956        ;Datos en datos/tbk_config.dat                                           
427657078 ;        3729;   ;pago      ;https://webpay.transbank.cl             ;18022015      ;082250;201.220.242.11 ;OK ;597031240956        ;Mac generado                                                            
427657078 ;        3729;   ;pago      ;https://webpay.transbank.cl             ;18022015      ;082250;201.220.242.11 ;OK ;597031240956        ;Construccion TBK_PARAM                                                  
427657078 ;        3729;   ;pago      ;https://webpay.transbank.cl             ;18022015      ;082250;201.220.242.11 ;OK ;597031240956        ;TBK_PARAM encriptado                                                    
427657078 ;        3729;   ;pago      ;https://webpay.transbank.cl             ;18022015      ;082250;201.220.242.11 ;OK ;597031240956        ;Datos listos para ser enviados                                          
427657078 ;        3729;   ;pago      ;https://webpay.transbank.cl             ;18022015      ;082250;201.220.242.11 ;OK ;597031240956        ;Medio 1: Transaccion segura                                             
427657078 ;        3729;   ;pago      ;https://webpay.transbank.cl             ;18022015      ;082253;201.220.242.11 ;OK ;597031240956        ;Datos validados                                                         
427657078 ;        3729;   ;pago      ;https://webpay.transbank.cl             ;18022015      ;082253;201.220.242.11 ;OK ;597031240956        ;Token=e6302b91ba0683bf982234dc1b8620003044e7be83835af7c4bf3b02b0d506b7  
427657078 ;        3729;   ;pago      ;https://webpay.transbank.cl             ;18022015      ;082253;201.220.242.11 ;OK ;597031240956        ;Redireccion web                                                         
427657078 ;        3729;   ;pago      ;https://webpay.transbank.cl             ;18022015      ;082253;201.220.242.11 ;OK ;597031240956        ;Todo OK                                                                 
          ;        4566;   ;resultado ;Desencriptando                          ;18022015      ;082416;200.10.14.177  ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;        4566;   ;resultado ;Validacion                              ;18022015      ;082416;200.10.14.177  ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;        4566;   ;resultado ;241                                     ;18022015      ;082416;200.10.14.177  ;OK ;                    ;Parseo de los datos                                                     
          ;        4566;   ;resultado ;241                                     ;18022015      ;082416;200.10.14.177  ;OK ;                    ;http://www.clubdelacocina.cl/beta/TB/compra.php                         
427657078 ;        4566;   ;transacc  ;427657078                               ;18022015      ;082416;200.10.14.177  ;OK ;597031240956        ;conectandose al port :(80)                                              
427657078 ;        4566;   ;resultado ;logro abrir_conexion                    ;18022015      ;082416;200.10.14.177  ; 0 ;597031240956        ;Abrio socket para conex-com                                             
427657078 ;        4566;   ;transacc  ;427657078                               ;18022015      ;082416;200.10.14.177  ;OK ;597031240956        ;POST a url http://www.clubdelacocina.cl/beta/TB/compra.php              
427657078 ;        4566;   ;transacc  ;427657078                               ;18022015      ;082416;200.10.14.177  ;OK ;597031240956        ;mensaje enviado                                                         
          ;        4568;   ;check_mac ;                                        ;18022015      ;082416;EMPTY          ;OK ;                    ;Todo OK                                                                 
427657078 ;        4566;   ;transacc  ;427657078                               ;18022015      ;082416;200.10.14.177  ;OK ;597031240956        ;Llego ACK del Comercio                                                  
427657078 ;        4566;   ;resultado ;241                                     ;18022015      ;082416;200.10.14.177  ;OK ;597031240956        ;tienda acepto transaccion                                               
427657078 ;        4566;   ;resultado ;241                                     ;18022015      ;082416;200.10.14.177  ;OK ;597031240956        ;respuesta enviada a TBK (ACK)                                           
427657078 ;        4566;   ;resultado ;241                                     ;18022015      ;082416;200.10.14.177  ;OK ;597031240956        ;Todo OK                                                                 
          ;       14803;   ;Filtro    ;Inicio                                  ;18022015      ;083556;201.220.242.11 ;OK ;                    ;Inicio de filtrado                                                      
          ;       14803;   ;Filtro    ;tbk_param.txt                           ;18022015      ;083556;201.220.242.11 ;OK ;                    ;Archivo parseado                                                        
          ;       14803;   ;Filtro    ;Terminado                               ;18022015      ;083556;201.220.242.11 ;OK ;                    ;Datos Filtrados con exito                                               
427735694 ;       14803;   ;pago      ;inicio                                  ;18022015      ;083556;201.220.242.11 ;OK ;597031240956        ;Parseo realizado                                                        
